DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-03-25,2960.0,3.0,3.0,12,25.0,1.0,2926.6666666666665,2928.0,2931.4285714285716,2960.0,2920.0,2940.0,57.73502691896299,41.47288270665544,34.36498771936171
2010-03-26,3040.0,4.0,3.0,12,26.0,1.0,2986.6666666666665,2948.0,2945.714285714286,2960.0,2860.0,2940.0,46.18802153517072,65.72670690061993,53.80741673075883
2010-03-27,3040.0,5.0,3.0,12,27.0,1.0,3013.3333333333335,2972.0,2960.0,3040.0,2960.0,2920.0,46.18802153517072,74.29670248402684,64.29100507328172
2010-03-28,3040.0,6.0,3.0,12,28.0,1.0,3040.0,3008.0,2974.285714285714,3040.0,2960.0,2860.0,0.0,43.81780460041329,69.96597812678284
2010-03-29,3040.0,0.0,3.0,13,29.0,1.0,3040.0,3024.0,2991.4285714285716,3040.0,3040.0,2960.0,0.0,35.77708763999664,69.1444313083251
2010-03-30,2980.0,1.0,3.0,13,30.0,1.0,3020.0,3028.0,3008.5714285714284,3040.0,3040.0,2960.0,34.64101615137834,26.832815729997478,39.76119189551075
2010-03-31,2880.0,2.0,3.0,13,31.0,1.0,2966.6666666666665,2996.0,2997.1428571428573,2980.0,3040.0,3040.0,80.82903768654788,69.85699678629192,61.56684327197121
2010-04-01,2880.0,3.0,4.0,13,1.0,1.0,2913.3333333333335,2964.0,2985.714285714286,2880.0,3040.0,3040.0,57.73502691896292,80.49844718999243,75.46680127869082
2010-04-02,2920.0,4.0,4.0,13,2.0,1.0,2893.3333333333335,2940.0,2968.5714285714284,2880.0,2980.0,3040.0,23.09401076758599,69.2820323027551,74.70577207252296
2010-04-03,2920.0,5.0,4.0,13,3.0,1.0,2906.6666666666665,2916.0,2951.4285714285716,2920.0,2880.0,3040.0,23.09401076758599,40.98780306383839,69.14443130832588
2010-04-04,2920.0,6.0,4.0,13,4.0,1.0,2920.0,2904.0,2934.285714285714,2920.0,2880.0,2980.0,0.0,21.908902300206645,57.40416444159387
2010-04-05,2920.0,0.0,4.0,14,5.0,1.0,2920.0,2912.0,2917.1428571428573,2920.0,2920.0,2880.0,0.0,17.88854381999832,33.52326839389347
2010-04-06,2780.0,1.0,4.0,14,6.0,1.0,2873.3333333333335,2892.0,2888.5714285714284,2920.0,2920.0,2880.0,80.82903768654796,62.609903369994115,51.455019654243785
2010-04-07,2820.0,2.0,4.0,14,7.0,1.0,2840.0,2872.0,2880.0,2780.0,2920.0,2920.0,72.11102550928022,67.23094525588644,57.73502691895904
2010-04-08,3080.0,3.0,4.0,14,8.0,1.0,2893.3333333333335,2904.0,2908.5714285714284,2820.0,2920.0,2920.0,162.8905563049417,116.10340218959993,95.11897312113148
2010-04-09,3080.0,4.0,4.0,14,9.0,1.0,2993.3333333333335,2936.0,2931.4285714285716,3080.0,2780.0,2920.0,150.1110699893028,140.99645385611655,115.3875457503326
2010-04-10,3080.0,5.0,4.0,14,10.0,1.0,3080.0,2968.0,2954.285714285714,3080.0,2820.0,2920.0,0.0,154.01298646542764,127.9136613575893
2010-04-11,3080.0,6.0,4.0,14,11.0,1.0,3080.0,3028.0,2977.1428571428573,3080.0,3080.0,2780.0,0.0,116.27553482998907,134.87207342691568
2010-04-12,3040.0,0.0,4.0,15,12.0,1.0,3066.6666666666665,3072.0,2994.285714285714,3080.0,3080.0,2820.0,23.094010767585043,17.88854381999832,134.02203088262692
2010-04-13,3020.0,1.0,4.0,15,13.0,1.0,3046.6666666666665,3060.0,3028.5714285714284,3040.0,3080.0,3080.0,30.55050463303887,28.284271247461902,95.11897312112801
